"Nº pers.","Clave de sexo","Centro","Área de nómina","Condición","Relación laboral","Rel. Laboral ok","Unidad organizativa","Grupo de invalidez","Categoría profesional","Tipo de contrato","fijo/Temp","GI","Disc","GrdOcup","Días","FTE","Personas","Mes",""
"00005400","mujeres","Centro 6","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00004183","hombres","Centro 1","Inst. Deportivas","No socios","Mandos Interm.","Mandos intermedios","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","25.97","31","0.2597","1","Jan-22",""
"00005634","hombres","Centro 12","Enseñanza Privada","No socios","Per. Admin.","Personal de Administración y Conserjería","Dirección General de Recu","","Auxiliar Recepción","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00001831","hombres","Centro 6","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe Cocina","100","fijo","0","","100","30","1","1","Sep-21",""
"00005820","hombres","Centro 2","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Mantenimiento","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005896","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Admin.","Personal de Administración y Conserjería","Servicios Internacionales","","Cuidador","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005989","hombres","Centro 6","Enseñanza Privada","No socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Recepcionista","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005992","hombres","Centro 6","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Mantenimiento","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005996","hombres","Centro 6","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Mantenimiento","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006025","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006026","hombres","Centro 3","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006080","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Cocina","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006082","mujeres","Centro 5","Enseñanza Privada","No socios","Per. Docente","Personal docente","D.O.P.","","Cuidador","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006109","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Cocina","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006125","hombres","Centro 6","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006142","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","","","Empl. Servicio Limpieza","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006174","mujeres","Centro 6","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00006201","mujeres","Centro 4","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","401","Temporal ","0","","100","22","0.709677419","0.709677419","Jan-22",""
"00006290","mujeres","Centro 4","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Socorrista","410","Temporal ","0","","100","15","0.483870968","0.483870968","Jan-22",""
"00004580","hombres","Centro 13","Ocio Educat.","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Cocina","401","Temporal ","0","","100","31","1","1","Jan-22",""
"00005997","hombres","Centro 3","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Mantenimiento","402","Temporal ","0","","100","31","1","1","Jan-22",""
"00002915","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00004042","hombres","Centro 7","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00004154","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00004475","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00004479","hombres","Centro 2","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00004526","hombres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00004613","mujeres","Centro 6","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00004644","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Recepcionista","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00004746","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","6","0.193548387","0.193548387","Jan-22",""
"00004963","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005042","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","D.O.P.","","Profesor","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005141","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005189","mujeres","Centro 6","Enseñanza Privada","No socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Auxiliar Administrativo","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005223","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005228","hombres","Centro 7","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Cocina","410","Temporal ","0","","100","31","1","1","Jan-22",""
