Período : 01.09.2023 - 31.08.2024,

Socio,Rango
1601,Entre 35.000 y 37.500
1602,Entre 30.000 y 35.000
1603,Entre 25.000 y 30.000
1605,Entre 40.000 y 50.000
1606,Entre 30.000 y 35.000
1609,Entre 25.000 y 30.000
1610,Entre 40.000 y 50.000
1611,Entre 37.500 y 40.000
1612,Entre 35.000 y 37.500
1613,Entre 40.000 y 50.000
1614,Entre 37.500 y 40.000
1615,Entre 40.000 y 50.000
1616,Entre 35.000 y 37.500
1617,Entre 35.000 y 37.500
1618,Entre 20.000 y 25.000
1619,Entre 35.000 y 37.500
1620,Entre 37.500 y 40.000
1621,Entre 37.500 y 40.000
1622,Entre 40.000 y 50.000
1623,Entre 35.000 y 37.500
1624,Entre 30.000 y 35.000
1625,Entre 20.000 y 25.000
1626,Entre 35.000 y 37.500
1627,Entre 37.500 y 40.000
1628,Entre 30.000 y 35.000
1630,Entre 40.000 y 50.000
1632,Entre 25.000 y 30.000
1633,Menos de 20.000
1634,Entre 35.000 y 37.500
1635,Entre 35.000 y 37.500
1636,Entre 35.000 y 37.500
1637,Entre 35.000 y 37.500
1638,Entre 35.000 y 37.500
1639,Entre 40.000 y 50.000
1640,Entre 37.500 y 40.000
1641,Entre 40.000 y 50.000
1642,Entre 40.000 y 50.000
1644,Entre 20.000 y 25.000
1645,Entre 35.000 y 37.500
1646,Menos de 20.000
1647,Entre 30.000 y 35.000
1648,Entre 20.000 y 25.000
1649,Entre 35.000 y 37.500
1650,Entre 35.000 y 37.500
1651,Entre 40.000 y 50.000
1652,Entre 37.500 y 40.000
1653,Entre 35.000 y 37.500
1654,Entre 30.000 y 35.000
1655,Entre 30.000 y 35.000
1657,Entre 40.000 y 50.000
1658,Entre 40.000 y 50.000
1659,Entre 40.000 y 50.000
1660,Entre 40.000 y 50.000
1661,Entre 37.500 y 40.000
1662,Entre 30.000 y 35.000
1663,Entre 20.000 y 25.000
1664,Entre 37.500 y 40.000
1665,Entre 40.000 y 50.000
1666,Entre 35.000 y 37.500
1667,Entre 30.000 y 35.000
1668,Entre 40.000 y 50.000
1669,Entre 30.000 y 35.000
1670,Entre 40.000 y 50.000
1671,Entre 40.000 y 50.000
1672,Entre 35.000 y 37.500
1674,Entre 20.000 y 25.000
1676,Entre 35.000 y 37.500
1677,Entre 25.000 y 30.000
1678,Entre 37.500 y 40.000
1679,Entre 35.000 y 37.500
1680,Entre 37.500 y 40.000
1681,Entre 37.500 y 40.000
1682,Entre 40.000 y 50.000
1685,Entre 35.000 y 37.500
1687,Entre 37.500 y 40.000
1688,Entre 20.000 y 25.000
1689,Entre 40.000 y 50.000
1690,Entre 37.500 y 40.000
1691,Entre 37.500 y 40.000
1692,Entre 25.000 y 30.000
1694,Entre 60.000 y 85.000
1695,Entre 35.000 y 37.500
1697,Entre 30.000 y 35.000
1698,Entre 35.000 y 37.500
1700,Entre 40.000 y 50.000
1701,Entre 20.000 y 25.000
1702,Entre 37.500 y 40.000
1703,Entre 40.000 y 50.000
1704,Entre 30.000 y 35.000
1705,Entre 40.000 y 50.000
1706,Entre 37.500 y 40.000
1707,Menos de 20.000
1708,Entre 35.000 y 37.500
1709,Entre 20.000 y 25.000
1710,Entre 35.000 y 37.500
1711,Entre 40.000 y 50.000
1712,Menos de 20.000
1713,Entre 37.500 y 40.000
1714,Entre 37.500 y 40.000
1715,Entre 40.000 y 50.000
1716,Entre 40.000 y 50.000
1717,Entre 40.000 y 50.000
1718,Entre 35.000 y 37.500
1719,Entre 35.000 y 37.500
1720,Entre 40.000 y 50.000
1721,Entre 35.000 y 37.500
1722,Entre 40.000 y 50.000
1725,Entre 35.000 y 37.500
1727,Entre 30.000 y 35.000
1728,Menos de 20.000
1729,Entre 35.000 y 37.500
1730,Entre 40.000 y 50.000
1731,Entre 25.000 y 30.000
1732,Entre 35.000 y 37.500
1733,Entre 35.000 y 37.500
1734,Entre 20.000 y 25.000
1735,Entre 35.000 y 37.500
1736,Entre 40.000 y 50.000
1737,Entre 20.000 y 25.000
1738,Entre 25.000 y 30.000
1739,Menos de 20.000
1740,Menos de 20.000
1741,Entre 35.000 y 37.500
1742,Entre 25.000 y 30.000
1744,Entre 37.500 y 40.000
1745,Entre 35.000 y 37.500
1746,Entre 25.000 y 30.000
1747,Entre 40.000 y 50.000
1748,Entre 40.000 y 50.000
1751,Entre 35.000 y 37.500
1755,Menos de 20.000
1756,Entre 40.000 y 50.000
1757,Entre 40.000 y 50.000
1759,Entre 30.000 y 35.000
1760,Menos de 20.000
1761,Entre 35.000 y 37.500
1762,Entre 37.500 y 40.000
1763,Entre 37.500 y 40.000
1764,Menos de 20.000
1765,Entre 37.500 y 40.000
1766,Entre 20.000 y 25.000
1767,Entre 37.500 y 40.000
1768,Entre 37.500 y 40.000
1769,Entre 35.000 y 37.500
1772,Entre 50.000 y 60.000
1773,Entre 30.000 y 35.000
1774,Entre 35.000 y 37.500
1775,Entre 37.500 y 40.000
1776,Entre 30.000 y 35.000
1777,Entre 30.000 y 35.000
1778,Menos de 20.000
1779,Entre 37.500 y 40.000
1781,Menos de 20.000
1782,Entre 40.000 y 50.000
1783,Entre 30.000 y 35.000
1784,Entre 30.000 y 35.000
1785,Entre 25.000 y 30.000
1786,Entre 20.000 y 25.000
1787,Entre 30.000 y 35.000
1788,Entre 40.000 y 50.000
1789,Entre 30.000 y 35.000
1790,Entre 37.500 y 40.000
1791,Entre 37.500 y 40.000
1793,Entre 30.000 y 35.000
1794,Entre 20.000 y 25.000
1796,Entre 30.000 y 35.000
1797,Entre 40.000 y 50.000
1798,Entre 25.000 y 30.000
1800,Entre 35.000 y 37.500
1801,Entre 37.500 y 40.000
1803,Entre 37.500 y 40.000
1804,Entre 35.000 y 37.500
1805,Entre 20.000 y 25.000
1806,Entre 35.000 y 37.500
1808,Entre 37.500 y 40.000
1809,Entre 37.500 y 40.000
1810,Entre 37.500 y 40.000
1811,Entre 40.000 y 50.000
1812,Menos de 20.000
1813,Entre 40.000 y 50.000
1814,Menos de 20.000
1815,Entre 37.500 y 40.000
1816,Entre 20.000 y 25.000
1817,Entre 35.000 y 37.500
1818,Entre 37.500 y 40.000
1819,Entre 30.000 y 35.000
1820,Entre 30.000 y 35.000
1821,Entre 30.000 y 35.000
1822,Entre 35.000 y 37.500
1823,Entre 30.000 y 35.000
1826,Menos de 20.000
1827,Entre 35.000 y 37.500
1829,Entre 30.000 y 35.000
1830,Entre 37.500 y 40.000
1831,Entre 40.000 y 50.000
1832,Entre 37.500 y 40.000
1833,Entre 37.500 y 40.000
1835,Entre 37.500 y 40.000
